component,attribute,P_attr,P_attr_given_comp,ER
4,pos_0-512,0.13773871527777778,0.1509331597222222,1.0957932881676382
4,pos_512-1024,0.12747395833333333,0.14344618055555555,1.125297923050732
4,pos_1024-2048,0.23448350694444445,0.23509837962962962,1.0026222427888323
4,pos_2048-4096,0.5003038194444445,0.4705222800925926,0.940473092160435
4,role_question,0.017361111111111112,0.013093171296296295,0.7541666666666665
4,role_evidence,0.19600694444444444,0.20515046296296297,1.0466489518748154
4,role_answer_near,0.014670138888888889,0.017722800925925927,1.208086785009862
4,role_title_special,0.03567708333333333,0.03747106481481482,1.0502838605028388
4,role_irrelevant,0.7362847222222222,0.7265625,0.9867955670832351
4,selfmass_base_high,0.5,0.4458550347222222,0.8917100694444444
4,entropy_base_high,0.5,0.5792100694444444,1.1584201388888888
4,prefix_mass_base_high,0.5,0.6583116319444444,1.3166232638888888
4,far_mass_base_high,0.5,0.5606192129629629,1.1212384259259258
4,topk_mass_base_high,0.49999819155092595,0.4036820023148148,0.8073669247935648
4,base_logit_margin_high,0.5,0.3358289930555556,0.6716579861111112
4,WavMass_high,0.5,0.6459780092592593,1.2919560185185186
4,router_out_entropy_high,0.5,0.6365017361111112,1.2730034722222223
4,top_scale_margin_high,0.5,0.40143952546296297,0.8028790509259259
4,router_in_norm_high,0.5,0.6872468171296297,1.3744936342592593
