task,layer,state,margin_bin,count,flip_rate,mean_margin,q33,q66
xsum,11,LARGE,low,179,0.9720670391061452,0.10848791587710888,0.15050984504900636,0.22716606654354976
xsum,11,LARGE,mid,271,0.959409594095941,0.18674435059787736,0.15050984504900636,0.22716606654354976
xsum,11,LARGE,high,266,0.943609022556391,0.3014370292352047,0.15050984504900636,0.22716606654354976
xsum,11,OTHER,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,11,OTHER,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,11,OTHER,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,10,NULL,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,10,NULL,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,10,NULL,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,10,UNIFORM,low,1758,0.9738339021615472,0.10058615243070532,0.15050984504900636,0.22716606654354976
all,10,UNIFORM,mid,1037,0.9691417550626809,0.18502335103333695,0.15050984504900636,0.22716606654354976
all,10,UNIFORM,high,718,0.9568245125348189,0.30048240166626294,0.15050984504900636,0.22716606654354976
all,10,SMALL,low,2013,0.9756582215598609,0.10544369196983418,0.15050984504900636,0.22716606654354976
all,10,SMALL,mid,1499,0.9679786524349566,0.18517526705724677,0.15050984504900636,0.22716606654354976
all,10,SMALL,high,1129,0.9495128432240921,0.3038057306065427,0.15050984504900636,0.22716606654354976
all,10,LARGE,low,2425,0.9694845360824742,0.10353939164526223,0.15050984504900636,0.22716606654354976
all,10,LARGE,mid,1860,0.9709677419354839,0.18659373044650807,0.15050984504900636,0.22716606654354976
all,10,LARGE,high,1732,0.9705542725173211,0.296565469578868,0.15050984504900636,0.22716606654354976
all,10,OTHER,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,10,OTHER,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,10,OTHER,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,11,NULL,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,11,NULL,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,11,NULL,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,11,UNIFORM,low,1432,0.960195530726257,0.1156030451272047,0.15050984504900636,0.22716606654354976
all,11,UNIFORM,mid,2559,0.9519343493552169,0.19066488437590534,0.15050984504900636,0.22716606654354976
all,11,UNIFORM,high,3382,0.9529863985807214,0.2994080214903315,0.15050984504900636,0.22716606654354976
all,11,SMALL,low,1673,0.9569635385534967,0.11029063628908482,0.15050984504900636,0.22716606654354976
all,11,SMALL,mid,2071,0.9608884596813134,0.18788671302343674,0.15050984504900636,0.22716606654354976
all,11,SMALL,high,2003,0.9515726410384423,0.29237708240597543,0.15050984504900636,0.22716606654354976
all,11,LARGE,low,362,0.9558011049723757,0.11195395244821821,0.15050984504900636,0.22716606654354976
all,11,LARGE,mid,637,0.9544740973312402,0.18883837829216343,0.15050984504900636,0.22716606654354976
all,11,LARGE,high,728,0.9313186813186813,0.29747031520879075,0.15050984504900636,0.22716606654354976
all,11,OTHER,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,11,OTHER,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
all,11,OTHER,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
