task,layer,state,count,flip_rate,js_mean,diag_base,diag_wave,diag_delta,sink_base,sink_wave,sink_delta,prefix_base,prefix_wave,prefix_delta,far_base,far_wave,far_delta,entropy_base,entropy_wave,entropy_delta
xsum,10,LARGE,35616,0.02535377358490566,0.0002791900577553815,0.1972483134788808,0.1930921266378881,-0.004156186840992698,0.008136044522179786,0.008892713183163039,0.0007566686609832528,0.07420316237811415,0.07920659845850464,0.005003436080390486,0.37195634984046855,0.38286707140180926,0.010910721561340708,3.0961182540457886,3.1046168604536684,0.008498606407879805
xsum,10,OTHER,62820,0.03720152817574021,0.0007348256888891079,0.27983564051611165,0.2740875117184752,-0.005748128797636476,0.01291087821809637,0.014839690988390341,0.0019288127702939712,0.09858468829613283,0.11136313700923188,0.01277844871309905,0.31832816339219466,0.32716451241278144,0.008836349020586776,3.0935969847308047,3.0987053877544994,0.005108403023694752
xsum,11,UNIFORM,40656,0.02695789059425423,0.0004938798438496731,0.37508070271381716,0.36961537757019325,-0.005465325143623911,0.01017868368920261,0.011430098005228682,0.001251414316026071,0.09265063836753265,0.10297613230229638,0.01032549393476373,0.26826530818119043,0.27574806981715416,0.0074827616359637306,2.9717300186813658,2.978939021576811,0.007209002895445238
xsum,11,SMALL,32808,0.046726408193123625,0.001346054246474233,0.34980366949167246,0.34391874663198496,-0.0058849228596875025,0.008376647538517749,0.010561151727090512,0.0021845041885727636,0.07340137619426981,0.09188422609293892,0.018482849898669107,0.29116642875281573,0.2991364918787299,0.007970063125914195,3.150398314538674,3.1512586958178415,0.0008603812791676546
xsum,11,LARGE,8604,0.024523477452347744,0.000276373100878454,0.3037968282184936,0.29940559421262597,-0.004391234005867606,0.012356312423733935,0.013276538768969344,0.0009202263452354094,0.11427833214755127,0.12066123548231715,0.006382903334765877,0.2660347653016664,0.2729487186874002,0.0069139533857338065,2.940501231942478,2.947404337696776,0.006903105754298089
xsum,11,OTHER,54972,0.03798297314996726,0.0008409125296619529,0.38669749585337193,0.38015585467985036,-0.006541641173521573,0.011481870771285915,0.013000522940252487,0.0015186521689665722,0.0940924479819204,0.10745668089405384,0.013364232912133442,0.2698720572769481,0.27878251782798175,0.008910460551033672,2.963254713807261,2.9691959188763386,0.005941205069077693
all,10,UNIFORM,42228,0.02829875911717344,0.0004390617718636699,0.27449577991505475,0.2695465313674048,-0.004949248547649943,0.01032506244925021,0.01176341331663308,0.00143835086738287,0.08034128797028536,0.08960400870549605,0.009262720735210686,0.2981003505174507,0.30474683324252183,0.006646482725071123,3.2980191349279946,3.30475063200122,0.006731497073225512
all,10,SMALL,55764,0.0491715085001076,0.0014433419366354293,0.2931964148013859,0.2888241973513227,-0.0043722174500632205,0.00857726014252695,0.010927036498775555,0.002349776356248605,0.07364106899667729,0.09034461420246641,0.016703545205789122,0.3003144353429619,0.30309024127998535,0.0027758059370234234,3.2416753667252953,3.248748606903985,0.007073240178689488
all,10,LARGE,72588,0.026161348983303027,0.0002874315702130384,0.20559570402443345,0.20138447518936067,-0.004211228835072772,0.008922317589768367,0.009500411495932939,0.0005780939061645722,0.06778820205872893,0.07179089073398749,0.004002688675258562,0.3874223319303329,0.3986848258335127,0.011262493903179849,3.206063832566258,3.213193884174407,0.007130051608148946
all,10,OTHER,162684,0.031582700204076615,0.0005730709489965073,0.26396727800285563,0.2593266269694692,-0.004640651033386456,0.008302137314822683,0.009556409840040806,0.0012542725252181232,0.0700332540689223,0.07893068121466536,0.008897427145743056,0.34591170579024605,0.3537452962944692,0.007833590504223165,3.2098045438168814,3.2171858927342907,0.0073813489174092695
all,11,UNIFORM,88956,0.02343855389181168,0.0003843953475307679,0.37201052552434727,0.36747897497548215,-0.004531550548865115,0.009334443101239123,0.010149242346866517,0.0008147992456273949,0.076631156379002,0.08386787911013488,0.0072367227311328775,0.265378731006462,0.2713769882317662,0.0059982572253042266,2.9841804649486163,2.990598978417177,0.006418513468560594
all,11,SMALL,69000,0.04008695652173913,0.0011087676730278015,0.3415215461814464,0.33717664939552144,-0.004344896785924979,0.0056991635526917545,0.007227922049392866,0.0015287584967011115,0.056770583775038054,0.07018417608451541,0.013413592309477355,0.2821153831415631,0.28706621434691004,0.0049508312053469505,3.1563301478780095,3.1617247712677203,0.005394623389710862
all,11,LARGE,20736,0.020881558641975308,0.00024608363435279086,0.32861684566078436,0.32489480347526256,-0.003722042185521801,0.008250683104339334,0.008809768945039579,0.0005590858407002446,0.07850319895796036,0.0829844308500322,0.004481231892071835,0.2752381007622579,0.2811113671055331,0.005873266343275174,3.0214228634349714,3.0270368871252424,0.005614023690271086
all,11,OTHER,154572,0.030807649509613642,0.0006216521928442911,0.35862620567091297,0.3541864877883723,-0.004439717882540661,0.006066793137381245,0.006913107876071158,0.000846314738689913,0.05898464910927982,0.06730133039456883,0.008316681285289007,0.2893620370028596,0.29549522924376287,0.006133192240903251,3.0655526677809704,3.0712902392286643,0.005737571447693934
