model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,42,512,20,24,3,0,0,512,0.14700713753700256,0.5247284770011902,0.4276956617832184,0.35139188170433044
medium,42,512,21,24,3,0,0,512,0.1684459149837494,0.5265425443649292,0.37293216586112976,0.38319525122642517
medium,42,512,22,24,3,0,0,512,0.18529172241687775,0.5453858375549316,0.2888200581073761,0.3291674852371216
medium,42,512,23,24,3,0,0,512,0.4550981819629669,0.43246519565582275,0.41610977053642273,0.2920886278152466
medium,42,2048,0,24,3,0,0,512,0.2713513672351837,0.4560824930667877,0.4047069847583771,0.3526586890220642
medium,42,2048,0,24,3,1,512,1024,0.2696733772754669,0.4475082755088806,0.40684109926223755,0.34476715326309204
medium,42,2048,0,24,3,2,1024,1536,0.27174994349479675,0.4460960030555725,0.40666088461875916,0.3439745306968689
medium,42,2048,0,24,3,3,1536,2048,0.274883508682251,0.4453684687614441,0.40457868576049805,0.3390144407749176
medium,42,2048,1,24,3,0,0,512,0.8070108294487,0.07079179584980011,0.11470741033554077,0.08951570838689804
medium,42,2048,1,24,3,1,512,1024,0.8043627142906189,0.06761758774518967,0.11952999234199524,0.09606001526117325
medium,42,2048,1,24,3,2,1024,1536,0.8020809292793274,0.06707499176263809,0.12322426587343216,0.09792358428239822
medium,42,2048,1,24,3,3,1536,2048,0.7992473840713501,0.06723520159721375,0.12585996091365814,0.1016853004693985
medium,42,2048,2,24,3,0,0,512,0.29621222615242004,0.43764954805374146,0.1910839080810547,0.2950839400291443
medium,42,2048,2,24,3,1,512,1024,0.30913037061691284,0.43944621086120605,0.18514904379844666,0.2846228778362274
medium,42,2048,2,24,3,2,1024,1536,0.3183439373970032,0.4338318109512329,0.17839641869068146,0.27617785334587097
medium,42,2048,2,24,3,3,1536,2048,0.3251851201057434,0.42573294043540955,0.17266516387462616,0.2675025165081024
medium,42,2048,3,24,3,0,0,512,0.30525803565979004,0.3888198137283325,0.19345325231552124,0.41074371337890625
medium,42,2048,3,24,3,1,512,1024,0.308738112449646,0.4010556936264038,0.1744367629289627,0.41466182470321655
medium,42,2048,3,24,3,2,1024,1536,0.31542426347732544,0.40604233741760254,0.16876545548439026,0.4149332344532013
medium,42,2048,3,24,3,3,1536,2048,0.3170820474624634,0.4050131142139435,0.16681882739067078,0.418504923582077
medium,42,2048,4,24,3,0,0,512,0.20042501389980316,0.4831222593784332,0.4265064597129822,0.35872212052345276
medium,42,2048,4,24,3,1,512,1024,0.18917270004749298,0.48162078857421875,0.47198686003685,0.38258010149002075
medium,42,2048,4,24,3,2,1024,1536,0.18865233659744263,0.4768184721469879,0.48432406783103943,0.39482584595680237
medium,42,2048,4,24,3,3,1536,2048,0.18878687918186188,0.47543105483055115,0.49327579140663147,0.4046553671360016
medium,42,2048,5,24,3,0,0,512,0.23174606263637543,0.35446080565452576,0.5463452339172363,0.396986722946167
medium,42,2048,5,24,3,1,512,1024,0.21656158566474915,0.36446988582611084,0.5532135367393494,0.4004817306995392
medium,42,2048,5,24,3,2,1024,1536,0.2050446718931198,0.3713822066783905,0.5495591163635254,0.40230587124824524
