model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,43,4096,8,24,3,6,3072,3584,0.7175685167312622,0.07740387320518494,0.08459582924842834,0.17011350393295288
medium,43,4096,8,24,3,7,3584,4096,0.7186009287834167,0.07829516381025314,0.08356909453868866,0.17085187137126923
medium,43,4096,9,24,3,0,0,512,0.5595093369483948,0.2509840130805969,0.21527454257011414,0.07264156639575958
medium,43,4096,9,24,3,1,512,1024,0.5542711615562439,0.2644452750682831,0.2203081101179123,0.07524489611387253
medium,43,4096,9,24,3,2,1024,1536,0.5559520125389099,0.26647618412971497,0.2181382030248642,0.07664314657449722
medium,43,4096,9,24,3,3,1536,2048,0.5506553053855896,0.26966652274131775,0.22515779733657837,0.0794455036520958
medium,43,4096,9,24,3,4,2048,2560,0.5449653267860413,0.27495476603507996,0.2289377748966217,0.08052869886159897
medium,43,4096,9,24,3,5,2560,3072,0.5438217520713806,0.274128258228302,0.2326650470495224,0.08104661107063293
medium,43,4096,9,24,3,6,3072,3584,0.5476162433624268,0.2711155414581299,0.23172742128372192,0.08072205632925034
medium,43,4096,9,24,3,7,3584,4096,0.5446763038635254,0.27230963110923767,0.2346533089876175,0.0825665220618248
medium,43,4096,10,24,3,0,0,512,0.4451911449432373,0.4641994833946228,0.2534594237804413,0.18185706436634064
medium,43,4096,10,24,3,1,512,1024,0.4488290846347809,0.4641852080821991,0.25787124037742615,0.1848534345626831
medium,43,4096,10,24,3,2,1024,1536,0.4536629021167755,0.46085619926452637,0.26153886318206787,0.18212345242500305
medium,43,4096,10,24,3,3,1536,2048,0.45136287808418274,0.46267077326774597,0.260031521320343,0.18421311676502228
medium,43,4096,10,24,3,4,2048,2560,0.45469439029693604,0.4599948823451996,0.2592630386352539,0.18117086589336395
medium,43,4096,10,24,3,5,2560,3072,0.4591483175754547,0.457368403673172,0.25810372829437256,0.18057861924171448
medium,43,4096,10,24,3,6,3072,3584,0.461266428232193,0.45566099882125854,0.25910258293151855,0.18047314882278442
medium,43,4096,10,24,3,7,3584,4096,0.45841625332832336,0.45832255482673645,0.2611923813819885,0.182141974568367
medium,43,4096,11,24,3,0,0,512,0.25398877263069153,0.4750206470489502,0.22413377463817596,0.3118177652359009
medium,43,4096,11,24,3,1,512,1024,0.27186405658721924,0.48654499650001526,0.20713740587234497,0.31115424633026123
medium,43,4096,11,24,3,2,1024,1536,0.27936816215515137,0.48048460483551025,0.1987830549478531,0.3069579303264618
medium,43,4096,11,24,3,3,1536,2048,0.2909402549266815,0.47370627522468567,0.19164501130580902,0.3051374554634094
medium,43,4096,11,24,3,4,2048,2560,0.28891539573669434,0.47593453526496887,0.1930978000164032,0.30562707781791687
medium,43,4096,11,24,3,5,2560,3072,0.29195263981819153,0.47600504755973816,0.19284403324127197,0.30039164423942566
medium,43,4096,11,24,3,6,3072,3584,0.29297539591789246,0.47400909662246704,0.19119609892368317,0.3012988567352295
medium,43,4096,11,24,3,7,3584,4096,0.2965988516807556,0.47252869606018066,0.1886923611164093,0.29962366819381714
medium,43,4096,12,24,3,0,0,512,0.2955858111381531,0.406459242105484,0.3991319537162781,0.4068298637866974
medium,43,4096,12,24,3,1,512,1024,0.2929818034172058,0.4023786187171936,0.40115582942962646,0.4199070334434509
medium,43,4096,12,24,3,2,1024,1536,0.2979066073894501,0.3975008726119995,0.3930286765098572,0.42040643095970154
medium,43,4096,12,24,3,3,1536,2048,0.28610461950302124,0.413202702999115,0.39771702885627747,0.42722076177597046
medium,43,4096,12,24,3,4,2048,2560,0.2815991938114166,0.41026192903518677,0.4000529944896698,0.4309953451156616
medium,43,4096,12,24,3,5,2560,3072,0.28480154275894165,0.41144850850105286,0.39799052476882935,0.42844945192337036
medium,43,4096,12,24,3,6,3072,3584,0.2826346158981323,0.4126876890659332,0.3903155028820038,0.43342143297195435
medium,43,4096,12,24,3,7,3584,4096,0.27576175332069397,0.42012402415275574,0.3983321189880371,0.43482649326324463
medium,43,4096,13,24,3,0,0,512,0.21315225958824158,0.39515239000320435,0.3729724586009979,0.4794977605342865
medium,43,4096,13,24,3,1,512,1024,0.21445947885513306,0.36546868085861206,0.38412705063819885,0.4901447594165802
medium,43,4096,13,24,3,2,1024,1536,0.20585347712039948,0.3698491156101227,0.3908485174179077,0.48883968591690063
medium,43,4096,13,24,3,3,1536,2048,0.20589420199394226,0.37442606687545776,0.3833169937133789,0.48444679379463196
medium,43,4096,13,24,3,4,2048,2560,0.2023237645626068,0.37562355399131775,0.38805684447288513,0.48594990372657776
medium,43,4096,13,24,3,5,2560,3072,0.19760286808013916,0.38041988015174866,0.38887763023376465,0.4815412759780884
medium,43,4096,13,24,3,6,3072,3584,0.19673489034175873,0.38389119505882263,0.3846185803413391,0.4848925471305847
medium,43,4096,13,24,3,7,3584,4096,0.19575677812099457,0.3865099251270294,0.38675665855407715,0.4805241525173187
medium,43,4096,14,24,3,0,0,512,0.22332605719566345,0.47552013397216797,0.2676587402820587,0.3189898133277893
medium,43,4096,14,24,3,1,512,1024,0.21457494795322418,0.4878181517124176,0.2650091052055359,0.3145746886730194
medium,43,4096,14,24,3,2,1024,1536,0.211040198802948,0.4988456666469574,0.27047500014305115,0.3176566958427429
medium,43,4096,14,24,3,3,1536,2048,0.2108108401298523,0.49641621112823486,0.26773369312286377,0.31306737661361694
medium,43,4096,14,24,3,4,2048,2560,0.20940324664115906,0.5007180571556091,0.270499050617218,0.3188350796699524
medium,43,4096,14,24,3,5,2560,3072,0.21013213694095612,0.5012801289558411,0.2696782052516937,0.3158476948738098
medium,43,4096,14,24,3,6,3072,3584,0.20916515588760376,0.5031757950782776,0.2700791358947754,0.31308257579803467
medium,43,4096,14,24,3,7,3584,4096,0.2090192288160324,0.5040839314460754,0.26910480856895447,0.3128724694252014
medium,43,4096,15,24,3,0,0,512,0.19789227843284607,0.4017212390899658,0.4112628698348999,0.33263152837753296
medium,43,4096,15,24,3,1,512,1024,0.20378094911575317,0.43001165986061096,0.37326812744140625,0.3062556982040405
medium,43,4096,15,24,3,2,1024,1536,0.20141862332820892,0.44269993901252747,0.3590761125087738,0.30381131172180176
medium,43,4096,15,24,3,3,1536,2048,0.198147714138031,0.44806280732154846,0.3558197319507599,0.30197563767433167
medium,43,4096,15,24,3,4,2048,2560,0.19532430171966553,0.4575011432170868,0.35155189037323,0.30167025327682495
medium,43,4096,15,24,3,5,2560,3072,0.1953538954257965,0.4536949396133423,0.35347190499305725,0.2963391840457916
medium,43,4096,15,24,3,6,3072,3584,0.19253164529800415,0.45237427949905396,0.35798749327659607,0.2968102991580963
