scope,rho_scale,rho_over_Ltrain,layer,query,g0,pa_rms,training_imprint_rms,wavelet_bias_rms,row_centered_wavelet_bias_rms,centered_over_raw_bias_rms,wavelet_over_pa_rms,wavelet_over_training_imprint_rms,corr_wavelet_pa,corr_g0_full_context_bias_rms,mean_abs_full_context_bias_rms_minus_g0
layer_causal_all,128.0,0.25,8,all,0.7810916900634766,20.290767426986182,4.516620367596969,1.0802306895046063,1.045328212134986,0.9676897928296904,0.053237547243675375,0.2391679179535149,0.23979917948792942,0.9991716333497864,0.0008015724597498775
query_row_causal,128.0,0.25,8,255,0.7741739153862,13.588536426871562,4.101085440922521,2.059444606862461,1.8899572861444105,0.9177024134792039,0.15155749980475264,0.502170617152321,0.028631857686934183,,
query_row_causal,128.0,0.25,8,511,0.7712246179580688,15.503374865450859,3.5022751032411295,1.5424026793330268,1.5182425641596902,0.9843360521237009,0.09948818839246791,0.44040020668440144,0.34064779171314774,,
query_row_causal,128.0,0.25,8,1023,0.7514017820358276,22.470914670732473,4.992682469218643,1.0626347078547214,1.0494592069711963,0.9876011005605829,0.04728933928260443,0.21283843192635965,0.2746332609166869,,
query_row_causal,128.0,0.25,8,2047,0.8031235933303833,19.183700415001805,5.4646438539444455,0.803116998751212,0.8003446465101596,0.9965480095112378,0.041864550705929926,0.1469660274697522,0.23670091977595126,,
layer_causal_all,256.0,0.5,0,all,0.6363011598587036,4.552632947581457,1.4863809878318204,0.8888699614690084,0.8230643216910369,0.9259670788410753,0.19524305422891872,0.5980095068126513,-0.00445787393610947,0.9999999999764346,3.6119381547905505e-06
query_row_causal,256.0,0.5,0,255,0.5939791202545166,3.6026326779015405,1.5429944734164516,1.3922384871957245,0.6965886587742387,0.5003371657806429,0.38645030222916726,0.902296483352317,-0.3187499101966675,,
query_row_causal,256.0,0.5,0,511,0.19558632373809814,4.99230859621945,1.7146886745750434,0.3672424892927753,0.33209531143008264,0.9042943589387544,0.07356165633888875,0.21417444154040977,-0.19752773533356988,,
query_row_causal,256.0,0.5,0,1023,0.7966101765632629,3.7577974803652174,1.4256601559475395,1.1265657342994002,1.1070674858525584,0.9826923118170574,0.2997941587288281,0.7902063683267129,0.001453817783846768,,
query_row_causal,256.0,0.5,0,2047,0.6002509593963623,5.814106743436632,1.4832539449809856,0.6002484827954465,0.5960717370449818,0.993041638804295,0.10324001764725918,0.4046835572738971,-0.002856252067640286,,
layer_causal_all,256.0,0.5,2,all,0.28965210914611816,29.199085432100496,3.8202996187649387,0.4414948972333516,0.4162061118505187,0.9427200958803685,0.015120161837260386,0.11556551613511458,0.04747522865101633,0.9999999999725308,2.176013367716223e-06
query_row_causal,256.0,0.5,2,255,0.1958639770746231,24.092772494424242,2.3231655111132943,0.4347495985555258,0.27596472225387425,0.6347670548075924,0.01804481400619789,0.1871367306702085,-0.6824091097780468,,
query_row_causal,256.0,0.5,2,511,0.46718356013298035,27.401636493519266,2.400725199049355,0.8721000102383945,0.7473983846113155,0.8570099482134039,0.03182656665212875,0.3632652377638768,-0.2918937299192443,,
query_row_causal,256.0,0.5,2,1023,0.21847236156463623,30.017655740229827,3.2208822459812976,0.3089629892932606,0.2963278346244564,0.95910463354298,0.010292708796682837,0.09592495648630261,0.1093832773635971,,
query_row_causal,256.0,0.5,2,2047,0.20141807198524475,33.245861230226126,3.7230991386561105,0.2014157989092236,0.19723393685505913,0.9792376661770749,0.006058372123808977,0.054098962022785836,0.038994013222256034,,
layer_causal_all,256.0,0.5,6,all,0.7176669836044312,22.576383557898996,4.282005449051328,0.9793187009804714,0.9025038298477691,0.9215629487563171,0.04337801483877734,0.22870561764404992,0.2081098401840309,0.999999999929159,3.5770281101576984e-06
query_row_causal,256.0,0.5,6,255,0.8012192845344543,18.482536052569586,3.7095374200913773,1.8950672420844,0.2841624968041293,0.1499485034059143,0.10253285786616566,0.5108634925261701,-0.21459327823564667,,
query_row_causal,256.0,0.5,6,511,0.20085765421390533,19.61851572608433,3.1756982915602214,0.3773876437543713,0.34313275208729827,0.9092315494850479,0.01923629947461343,0.1188361138579574,0.0933134212430753,,
query_row_causal,256.0,0.5,6,1023,0.7789639234542847,23.53647383453313,4.139627359628244,1.1016077136741464,1.0960147792961914,0.9949229346267909,0.04680428008964742,0.26611277247261106,0.23856858796918243,,
query_row_causal,256.0,0.5,6,2047,0.7829036712646484,25.58930611166526,5.844345506838595,0.7829007830858493,0.7723408676128343,0.9865118087742963,0.030594842223132912,0.1339586754701207,0.11092605604539744,,
layer_causal_all,256.0,0.5,8,all,0.7842690944671631,17.91697371451567,4.793939973867122,1.0514175838263737,0.9812367385890944,0.9332512159613372,0.05868276644144173,0.2193222254675475,0.20218016657685722,0.9999999968680641,7.795249985065311e-06
query_row_causal,256.0,0.5,8,255,0.7940946817398071,12.635462297876751,4.856615683281659,1.5759574125392137,1.337050743598257,0.8484053775564749,0.12472495072887328,0.3244970397728331,-0.2286100139642329,,
query_row_causal,256.0,0.5,8,511,0.778992772102356,13.63305316874143,3.9210191022681546,1.4741886341082744,1.411869464430562,0.9577264617052154,0.10813341779436249,0.375970786078424,0.31970095476079435,,
query_row_causal,256.0,0.5,8,1023,0.7154034972190857,18.880323799663945,5.74365525401679,1.01171778860044,1.0032718266233407,0.9916518597653768,0.053585828258858985,0.1761452844672217,0.23661077611135492,,
query_row_causal,256.0,0.5,8,2047,0.79726642370224,18.8964232634594,5.388581241193151,0.7972585624284557,0.7881512317744271,0.9885766913229661,0.04219097716604069,0.14795333442016084,0.17916409542075767,,
layer_causal_all,384.0,0.75,0,all,0.5968946814537048,4.43800583050874,1.3932755179913174,0.8136442959005514,0.7345033898912887,0.9027327956356302,0.18333556263203044,0.5839794680908345,-0.007882059950733884,0.9999999999670767,3.1317322282120585e-06
